CURRENCY_DATE;CURRENCY_YEAR;VOLUME;CLOSE_USD;CLOSE_EUR;CLOSE_CLP;CLOSE_BRL;RANK_VOLUME_BY_DAY;SUM_VOLUME_BY_YEAR;SUM_VOLUME_BY_YEAR_MONTH;SUM_VOLUME_BY_MONTH_IN_YEAR;AVG_VOLUME_BY_YEAR;AVG_VOLUME_BY_YEAR_MONTH;RANK_VOLUME_BY_YEAR;RANK_VOLUME_BY_YEAR_MONTH;RANK_VOLUME_BY_MONTH_IN_YEAR
2020-06-19;2020;15815;93.75;83.8588125;76622.24175;497.9503125;418;3078378;290449;290449;12167.501;13202.227;3;23;5
2020-11-12;2020;27567;110.1;93.2758392;83795.35941;600.9475998;128;3078378;269567;269567;12167.501;13478.35;3;27;6
2020-11-30;2020;51;120.7;101.1073725;91961.1462946;643.6451820999999;625;3078378;269567;269567;12167.501;13478.35;3;27;6
2020-11-24;2020;19;113.15;95.09171260000001;87555.5752295;608.07952815;656;3078378;269567;269567;12167.501;13478.35;3;27;6
2020-11-27;2020;167;121.7;101.7303687;93551.2660904;650.3774568;590;3078378;269567;269567;12167.501;13478.35;3;27;6
2020-11-13;2020;11221;109.25;92.30783775;83806.102386;596.341562;527;3078378;269567;269567;12167.501;13478.35;3;27;6
2020-11-18;2020;11870;119.75;101.07798125000001;90806.61408525;642.2430802499999;511;3078378;269567;269567;12167.501;13478.35;3;27;6
2020-11-19;2020;203;120.65;101.67597775;91597.3371504;640.16636635;588;3078378;269567;269567;12167.501;13478.35;3;27;6
2020-11-20;2020;114;115.5;97.41373949999999;88265.551836;621.402012;600;3078378;269567;269567;12167.501;13478.35;3;27;6
2020-11-03;2020;24079;103.45;88.00512189999999;78570.07378975001;595.58202965;197;3078378;269567;269567;12167.501;13478.35;3;27;6
2020-11-09;2020;26289;106.85;90.3741574;80950.08409925;575.440675;149;3078378;269567;269567;12167.501;13478.35;3;27;6
2020-11-17;2020;15948;116.2;97.94904700000001;88684.3963656;619.1948238;416;3078378;269567;269567;12167.501;13478.35;3;27;6
2020-11-11;2020;25497;109.1;92.610626;82337.4070243;588.2127591;165;3078378;269567;269567;12167.501;13478.35;3;27;6
2020-11-10;2020;28673;107.3;90.7999425;80968.16260299999;581.0729564999999;111;3078378;269567;269567;12167.501;13478.35;3;27;6
2020-11-05;2020;29467;105.95;89.67343125000001;80108.9257423;585.3627312;102;3078378;269567;269567;12167.501;13478.35;3;27;6
2020-11-06;2020;18754;106.95;90.06997455;80373.3433884;573.7657878;335;3078378;269567;269567;12167.501;13478.35;3;27;6
2020-11-04;2020;18073;103.0;87.78844500000001;77682.862032;583.443809;354;3078378;269567;269567;12167.501;13478.35;3;27;6
2020-11-25;2020;38;114.5;96.069164;87569.29680400001;609.608763;637;3078378;269567;269567;12167.501;13478.35;3;27;6
2020-11-02;2020;18605;102.8;88.30160199999999;78919.73383479999;590.3391772;340;3078378;269567;269567;12167.501;13478.35;3;27;6
2020-11-23;2020;39;114.45;96.6537117;88573.00985085;622.8486883500001;636;3078378;269567;269567;12167.501;13478.35;3;27;6
2020-11-16;2020;12893;115.65;97.52012775;88645.57789320001;626.4068913;496;3078378;269567;269567;12167.501;13478.35;3;27;6
2020-07-10;2020;4;96.15;85.1262102;76189.63613880001;512.3212371000001;671;3078378;217873;217873;12167.501;9903.318;3;29;7
2020-07-28;2020;18617;109.65;93.57037575;84024.97581285001;565.1146086;339;3078378;217873;217873;12167.501;9903.318;3;29;7
